variety_id,crop,variety_name,year_of_release,stress_tolerance,key_attributes,states_acronyms,seasons,days_to_maturity,evidence_quality,stress_types_list,seednet_match,seednet_url,seednet_variety_id,search_results_total,institution,data_source
PADDY__DHAN___CR_Dhan_328__nan,Rice,CR Dhan 329,2023,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","GJ, MH, OR, BR",Unknown,Not Available,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A010218040,A010218040,69,ICAR-National Rice Research Institute,csc
PADDY__DHAN___CR_Dhan_310__nan,Rice,CR Dhan 331,2023,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","MH, CG",Unknown,Not Available,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A010217731,A010217731,203,ICAR-National Rice Research Institute,csc
PADDY__DHAN___CR_Dhan_-_809__nan,Rice,CR Dhan 804,2023,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","JH, UP, TN, MP, CG",Unknown,Not Available,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A010218860,A010218860,56,"Rice Research Station (CRURRS), ICAR-National Rice Research Institute",csc
PADDY__DHAN___CR_DHAN-807__nan,Rice,CR Dhan 807,2023,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","JH, OR, AP, TN, CG",Unknown,Not Available,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A010218312,A010218312,88,ICAR-National Rice Research Institute,csc
PADDY__DHAN___CR_Dhan_-_809__nan,Rice,CR Dhan 808,2023,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","BR, JH",Unknown,Not Available,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A010218860,A010218860,56,"Rice Research Station (CRURRS), ICAR-National Rice Research Institute",csc
PADDY__DHAN___Uttar_Ganga__nan,Rice,Uttar Ganga,2023,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","WB, OR, UP",Unknown,Not Available,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A010218268,A010218268,94,"ICAR- AICRP on Rice, Uttar Banga Krishi Vishwavidyalaya",csc
PADDY__DHAN___AAu-KMJ-Dhan-46__Surma_Dhan___nan,Rice,SurmaDhan (AAU-KMJ Dhan-46),2023,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","BR, OR, UTT",Unknown,Not Available,Medium,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A010217701,A010217701,32,"ICAR- AICRP on Rice, Regional Agricultural Research Station, Assam Agricultural University",csc
PADDY__DHAN___DRR_DHAN_57__nan,Rice,DRR Dhan 70,2023,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt",ODI,Unknown,Not Available,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A010217128,A010217128,141,"ICAR - Indian Institute of Rice Research Hyderabad,",csc
PADDY__DHAN___DRR_DHAN_57__nan,Rice,DRR Dhan 71,2023,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","OR, GUJ",Unknown,Not Available,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A010217128,A010217128,141,"ICAR - Indian Institute of Rice Research Hyderabad,",csc
PADDY__DHAN___DRR_DHAN_57__nan,Rice,DRR Dhan 72,2023,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt",KAR,Unknown,Not Available,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A010217128,A010217128,141,"ICAR-Indian Institute of Rice Research,",csc
PADDY__DHAN___DRRH-1__nan,Rice,DRRH-5,2023,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","WB, GJ, GOA",Unknown,Not Available,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0102088,A0102088,193,"ICAR - Indian Institute of Rice Research Hyderabad,",csc
PADDY__DHAN___MTU_Rice_1273__nan,Rice,MTU Rice 1275,2023,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","AP, TG, TN, KAR",Unknown,Not Available,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A010217678,A010217678,81,"ICAR- AICRP on Rice, Regional Research Station (Acharya N.G. Ranga Agricultural University)",csc
PADDY__DHAN___28P67__A010218835,Rice,28P68,2023,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","UP, BR, JH, ODI",Unknown,Not Available,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A010218034,A010218034,154,Corteva Agriscience Seeds Private Limited,csc
PADDY__DHAN___sava-7501__nan,Rice,Sava 7501,2023,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt","WES, JAM",Unknown,Not Available,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A010218253,A010218253,84,Savannah Seeds Private Limited,csc
PADDY__DHAN___sava-7301__nan,Rice,Sava 7301,2023,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt",JHA,Unknown,Not Available,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A010218252,A010218252,52,Savannah Seeds Private Limited,csc
PADDY__DHAN___KKL__R_-1__nan,Rice,KKL (R) 3,2023,Yes,"Disease, Drought, Flood, Pest, Salt","HR, PY, TN",Unknown,Not Available,Low,Disease|Drought|Flood|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=A0102962,A0102962,12,"ICAR-AICRP on Rice, Pandit Jawaharlal Nehru College of Agriculture and Research Institute",csc
