variety_id,crop,variety_name,year_of_release,stress_tolerance,key_attributes,states_acronyms,seasons,days_to_maturity,evidence_quality,stress_types_list,seednet_match,seednet_url,seednet_variety_id,search_results_total,institution,data_source
CHILLIES__Him_Palam_Mirch-1__DPCh-27___nan,Chilli,Him Palam Mirch-1,2022,Yes,"Disease, Drought, Flood, Heat, Pest",HP,Unknown,,Low,Disease|Drought|Flood|Heat|Pest,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H070317508,H070317508,12,"Department of Vegetable Science and Floriculture, CSK Himachal Pradesh Krishi Vishvavidyalaya",csc
CHILLIES__Him_Palam_Mirch-1__DPCh-27___nan,Chilli,Him Palam Mirch-2,2022,Yes,"Disease, Drought, Flood, Heat, Pest",HP,Unknown,,Low,Disease|Drought|Flood|Heat|Pest,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H070317508,H070317508,12,"Department of Vegetable Science and Floriculture, CSK Himachal Pradesh Krishi Vishvavidyalaya",csc
BRINJAL__GAb_6__Anand_Doli__nan,Brinjal,GAB 6: Anand Doli,2022,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt",GJ,Unknown,,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H070217537,H070217537,58,"Main Vegetable Research Station, Anand Vegetable University",csc
BRINJAL__Birsa_Chianki_Baigan-1__CB-1___nan,Brinjal,Birsa Chianki Baigan-1,2022,No,Standard variety,JH,Unknown,,Low,,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H070217539,H070217539,0,"Zonal Research Station Birsa Agricultural University, Ranchi",csc
BRINJAL__Sorath_Ravaiya_GRB-7__JBR-14-07___nan,Brinjal,Sorath Ravaiya GRB-7,2022,No,Standard variety,GJ,Unknown,,Low,,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H070217500,H070217500,0,"Research Scientist (Garlic-Onion), Vegetable Research Station, Junagadh Agricultural University",csc
BRINJAL__VMB-16-10__nan,Brinjal,VMB-16-10,2022,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt",TN,Unknown,,Medium,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H070217504,H070217504,32,Agricultural Research Station,csc
BRINJAL__GUJARAT_BRINJAL_LONG-1__H070217507,Brinjal,Gujarat Round Brinjal 8,2022,No,"Disease, Pest",GJ,Unknown,,Low,Disease|Pest,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H0702023,H0702023,3,"Research Science (Veg.), Main Vegetable Research Station Anand Agricultural University",csc
BRINJAL__Bidhan_Suphala__BCB-40___nan,Brinjal,Bidhan Suphala,2022,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt",WB,Unknown,,Medium,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H070217509,H070217509,21,"AICRP on Vegetable crops, Directorate of Research, Bidhan Chandra Krishi Vishwavidyalaya",csc
BRINJAL__Pusa_Safed_Baingan-2__nan,Brinjal,Pusa Safed Baingan-2,2022,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt",NCT,Unknown,,Medium,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H070217513,H070217513,46,ICAR- IARI,csc
BRINJAL__Pusa_Hara_Baingan-2__nan,Brinjal,Pusa Hara Baingan 2,2022,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt",NCT,Unknown,,Medium,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H070217514,H070217514,43,ICAR-IARI,csc
CUCUMBER__Punjab_Kheera-1__PBRK-4___nan,Cucumber,Punjab Kheera-1,2022,No,Standard variety,PB,Unknown,,Low,,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H040317533,H040317533,0,Department of Vegetable Science,csc
CUCUMBER__Him_Palam_Kheera-1__DDPCG1___nan,Cucumber,Him Palam Kheera-1,2022,No,Standard variety,HP,Unknown,,Low,,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H040317535,H040317535,0,CSK Himachal Pradesh Krishi Vishvavidyalaya,csc
CUCUMBER__Pusa_Pickling_Cucumber_8_DG-8___nan,Cucumber,Pusa Pickling Cucumber-8,2022,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt",NCT,Unknown,,Medium,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H040317538,H040317538,34,ICAR-IARI,csc
RADISH__CR-45__nan,Radish,CR-45,2022,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt",JK,Unknown,,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H100317558,H100317558,152,Division of Vegetable Science and floriculture,csc
RADISH__Him_Palam_Mooli-1__DPR-1___nan,Radish,Him Palam Mooli-1,2022,Yes,"Disease, Drought, Flood, Heat, Pest",HP,Unknown,,Medium,Disease|Drought|Flood|Heat|Pest,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H100317541,H100317541,22,"Department of Science Floriculture, CSK Himachal Pradesh Krishi Vishvavidyalaya",csc
CABBAGE__Pusa_Red_Cabbage_Hybrid_1__KTCBH-R-7___nan,Cabbage (Red),Pusa Red Cabbage Hybrid-1,2022,No,Standard variety,NCT,Unknown,,Low,,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H030217525,H030217525,0,"ICAR-IARI, Regional Station",csc
CABBAGE__Pusa_Pakchoi-1__nan,Pakchoi/ Cabbage,Pusa Pakchoi-1,2022,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt",NCT,Unknown,,Medium,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H030217526,H030217526,35,"Centre for Protected Cultivation Technology, I.A.R.I.",csc
CAULIFLOWER__Pusa_Snowball_Hybrid-2__KTH-DH-1___nan,Cauliflower,Pusa Snowball Hybrid-2,2022,Yes,"Disease, Drought, Heat, Pest, Salt",NCT,Unknown,,Low,Disease|Drought|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H030317529,H030317529,7,ICAR-IARI,csc
CAULIFLOWER__Pusa_Cauliflower_Hybrid_3__DCH-976___nan,Cauliflower,Pusa cauliflower Hybrid 3,2022,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt",NCT,Unknown,,Low,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H030317530,H030317530,17,ICAR-IARI,csc
SPINACH__Pusa_Vilayati_Palak__nan,Spinach,Pusa Vilayati Palak,2022,Yes,"Cold, Disease, Drought, Flood, Heat, Pest, Salt",NCT,Unknown,,High,Cold|Disease|Drought|Flood|Heat|Pest|Salt,YES,https://seednet.gov.in/SeedVarieties/ssrsVarietydetail.aspx?varietycd=H080317569,H080317569,62,ICAR-IARI,csc
